"","time","alloc","release","dups","ref","src"
"1",0.2,0.57,0,33,"mtraceR.R#201","mtrace/readLines "
"2",243.99999999999,430.716,157.327,166,"mtraceR.R#211","mtrace/read.table"
"3",0.3,15.763,0,13,"mtraceR.R#215","mtrace/unique    "
"4",14.8,219.259,196.103,699,"mtraceR.R#224","mtrace/split     "
"5",41.5,1059.488,428.778,5716,"mtraceR.R#225","mtrace/lapply    "
"6",2.2,2.323,0,97,"mtraceR.R#234","mtrace/message   "
"7",911.30000000006,11846.307,11646.841,167241,"mtraceR.R#240","mtrace/lapply    "
"8",0.2,0.738,0,365,"mtraceR.R#251","mtrace/apply     "
"9",0.3,0.136,0,579,"mtraceR.R#252","mtrace/message   "
"10",1.2,0.172,0,124,"mtraceR.R#258","mtrace/write.csv "
"11",2.7,1.719,0,13,"mtraceR.R#263","mtrace/pdf       "
"12",139.799999999999,339.252,273.555,20910,"mtraceR.R#266","mtrace/lapply    "
"13",1,0.721,0,4,"mtraceR.R#280","mtrace/dev.off   "
"14",0.1,0.632,0,490,"mtraceR.R#283","mtrace/lapply    "
"15",0.2,4.105,0,551,"mtraceR.R#284","mtrace/write.csv "
"16",142.599999999997,9439.266,9423.033,216428,"mtraceR.R#287","mtrace/lapply    "
